,SB
1042,1.6968799627647968e-06
1043,2.8021775506203994e-05
1044,1.2148023415647913e-05
1045,0.0001230561756528914
1046,0.002715498674660921
1047,2.7138587029185146e-05
1048,5.6914974067012736e-08
1049,5.3287876653485e-05
1050,5.06826036144048e-05
1051,2.0271243101888103e-06
1052,0.000290929019683972
1053,3.7535059504989476e-07
1054,1.654226977620965e-08
1055,0.010880932211875916
1056,1.1320924386382103e-05
1057,3.84900914696118e-07
1058,5.988613906993123e-07
1059,4.552624886855483e-06
1060,1.6344894902431406e-05
1061,9.663391864478399e-08
1062,2.1771586489194306e-06
1063,2.5260396796511486e-06
1064,1.6759124264353886e-05
1065,3.472067692200653e-05
